Unnamed: 0,Filename,Mr. Chekideh,Detected
0,CWE-020_author_1.py,"8,9",8
1,CWE-020_author_2.py,"7,8",7
2,CWE-020_codeql_1.py,"10,11,12",11
3,CWE-020_codeql_2.py,"13,14,15,16",15
4,CWE-020_codeql_3.py,"13,14,15,16",16
5,CWE-020_codeql_4.py,"11,12,13",13
6,CWE-022_author_1.py,"6,7",7
7,CWE-022_author_2.py,"7,8,9",7
8,CWE-022_codeql_1.py,"7,8,9",8
9,CWE-022_codeql_2.py,"7,8,9",9
10,CWE-078_author_1.py,"6,7",7
11,CWE-078_codeql_1.py,"6,7,8",8
12,CWE-079_codeql_1.py,"12,13,14,15",13
13,CWE-079_codeql_2.py,"10,11,12",11
14,CWE-079_sonar_1.py,"10,11,12,13",12
15,CWE-080_author_1.py,"10,11,12",11
16,CWE-089_author_1.py,"7,8",None
17,CWE-089_codeql_1.py,"7,8,9,10",8
18,CWE-090_codeql_1.py,"13,14,16,17,19,20,21,22","16,17"
19,CWE-090_codeql_2.py,"13,14,16,17,19,20,21","13,14,16,17,20,21"
20,CWE-094_author_1.py,"5,6",6
21,CWE-094_codeql_1.py,"7,8,9",9
22,CWE-094_sonar_1.py,"10,11",11
23,CWE-095_author_1.py,"5,6",5
24,CWE-099_sonar_1.py,"11,12","11,12"
25,CWE-113_sonar_1.py,"12,13",12
26,CWE-113_sonar_2.py,"8,9,10",8
27,CWE-116_author_1.py,"5,7",9
28,CWE-116_codeql_1.py,"7,8,9,10,11",10
29,CWE-117_author_1.py,"11,12",12
30,CWE-117_codeql_1.py,"14,15",15
31,CWE-117_sonar_1.py,"9,10",None
32,CWE-1204_sonar_1.py,"9,10,11",9
33,CWE-193_author_1.py,"6,7,8,9",6
34,CWE-200_author_1.py,"10,11,12,13,14",12
35,CWE-209_codeql_1.py,"16,17,18,19",19
36,CWE-215_author_1.py,"22,17,27","22,25,27"
37,CWE-215_codeql_1.py,12,12
38,CWE-250_mitre_1.py,"10,11,12",11
39,CWE-252_author_1.py,"4,10",9
40,CWE-259_author_1.py,5,5
41,CWE-259_author_2.py,7,7
42,CWE-269_mitre_1.py,"11,12,13,14",10
43,CWE-283_mitre_1.py,"2,6",None
44,CWE-284_author_1.py,"3,14,16","3,14"
45,CWE-285_codeql_1.py,"16,17,18,20,21",None
46,CWE-295_author_1.py,"7,8,9,10",8
47,CWE-295_author_2.py,"7,8",7
48,CWE-295_codeql_1.py,"7,8",8
49,CWE-297_sonar_1.py,"7,8",7
50,CWE-297_sonar_2.py,7,7
51,CWE-297_sonar_3.py,"7,8,9",8
52,CWE-297_sonar_4.py,"7,8,9,10",9
53,CWE-306_pearce_1.py,"20,21,22,39",20
54,CWE-312_codeql_1.py,"10,11,12",12
55,CWE-319_author_1.py,7,7
56,CWE-319_author_2.py,7,7
57,CWE-321_author_1.py,9,9
58,CWE-326_author_1.py,"7,8,9",9
59,CWE-326_author_2.py,7,7
60,CWE-327_codeql_1.py,"7,8,9",7
61,CWE-327_codeql_2.py,"8,9",8
62,CWE-327_codeql_3.py,7,7
63,CWE-327_codeql_4.py,7,7
64,CWE-329_sonar_1.py,"8,9,10,11",9
65,CWE-330_author_1.py,7,7
66,CWE-331_author_1.py,7,None
67,CWE-339_mitre_1.py,"6,7,8,9",7
68,CWE-347_sonar_1.py,7,7
69,CWE-347_sonar_2.py,7,7
70,CWE-347_sonar_3.py,6,6
71,CWE-352_codeql_1.py,8,8
72,CWE-367_author_1.py,"8,9,10",8
73,CWE-377_codeql_1.py,"7,8,9",7
74,CWE-379_sonar_1.py,"7,8,9,10",7
75,CWE-384_sonar_1.py,"7,8,9,10",9
76,CWE-385_mitre_1.py,"5,6,7,8,9,10",7
77,CWE-400_sonar_1.py,"12,13,15",15
78,CWE-406_mitre_1.py,"8,9,10,11,12,13,14,15,16",9
79,CWE-414_author_1.py,"9,10,11,12,13,15,16",9
80,CWE-425_author_1.py,"7,8,9,10",10
81,CWE-434_pearce_1.py,"11,12,13",12
82,CWE-434_pearce_2.py,"11,12,13,14,15,16",None
83,CWE-454_author_1.py,"8,9,10,11,12,13",11
84,CWE-462_mitre_1.py,"5,6,7,8,9",6
85,CWE-477_author_1.py,"7,8",7
86,CWE-488_author_1.py,"13,14,16,17",16
87,CWE-502_author_1.py,"3,4,5,7,11",5
88,CWE-502_codeql_1.py,"4,8",8
89,CWE-502_mitre_1.py,"8,9,10,11,12,13",9
90,CWE-502_sonar_1.py,"10,11",11
91,CWE-521_sonar_1.py,"6,10",10
92,CWE-521_sonar_2.py,"6,10,11",11
93,CWE-522_author_1.py,"6,10,11,12,13,17",17
94,CWE-522_pearce_1.py,"14,15,16,17,18,19",16
95,CWE-595_author_1.py,"5,6,7,8",5
96,CWE-601_codeql_1.py,"10,11",11
97,CWE-601_sonar_1.py,"7,8",7
98,CWE-601_sonar_2.py,"8,9",9
99,CWE-601_sonar_3.py,"8,9,10,11",8
100,CWE-601_sonar_4.py,"7,8,9,10",9
101,CWE-605_author_1.py,"7,8,9,10",None
102,CWE-611_author_1.py,"14,15",15
103,CWE-611_codeql_1.py,"11,12,13",12
104,CWE-611_sonar_1.py,"7,8,9",7
105,CWE-611_sonar_2.py,"6,7,8,9",6
106,CWE-611_sonar_3.py,"8,9,10,11,12",8
107,CWE-611_sonar_4.py,"7,8,9,11,12",11
108,CWE-641_sonar_1.py,"11,12,13",12
109,CWE-643_codeql_1.py,"14,15,16,17",17
110,CWE-643_sonar_1.py,"14,15,16,17",15
111,CWE-703_author_1.py,"5,6,7,8,9",6
112,CWE-703_author_2.py,"6,7,8,9,10",7
113,CWE-703_author_3.py,"5,6,7",None
114,CWE-730_author_1.py,"6,7,8,9,10",6
115,CWE-730_codeql_1.py,"10,11",10
116,CWE-730_codeql_2.py,"10,11,12",11
117,CWE-732_author_1.py,"6,7,8,9",9
118,CWE-759_mitre_1.py,"6,7,8,9",6
119,CWE-760_sonar_1.py,"6,7",6
120,CWE-776_codeql_1.py,"11,12,13",12
121,CWE-798_author_1.py,7,7
122,CWE-798_codeql_1.py,"9,10,11",9
123,CWE-827_sonar_1.py,"6,7,8",7
124,CWE-835_author_1.py,"5,6,7,8,9",7
125,CWE-841_mitre_1.py,"10,11,12,13,14,15,16,17,18,19",18
126,CWE-918_codeql_1.py,"11,12,13,14",11
127,CWE-918_codeql_2.py,"11,12,13,14",None
128,CWE-941_mitre_1.py,"8,9,10,11,12,13,14,15",9
129,CWE-943_sonar_1.py,"10,11,12,13,14,15,16",11
